CUST_ID,gender,DateOfBirth,State,Contact,Segment,claim_id,customer_id,incident_cause,claim_date,claim_area,police_report,claim_type,claim_amount,total_policy_claims,fraudulent,_merge
21868593,Female,12-Jan-79,VT,789-916-8172,Platinum,54004764,21868593,Driver error,11/27/2017,Auto,No,Material only,$2980,1.0,No,both
75740424,Female,13-Jan-70,ME,265-543-1264,Silver,33985796,75740424,Crime,10/03/2018,Home,Unknown,Material only,$2980,3.0,No,both
30308357,Female,11-Mar-84,TN,798-631-4758,Silver,53522022,30308357,Other driver error,02/02/2018,Auto,No,Material only,$3369.5,1.0,Yes,both
30308357,Female,11-Mar-84,TN,798-631-4758,Silver,63017412,30308357,Driver error,04/04/2018,Auto,No,Material only,$1950,6.0,No,both
47830476,Female,01-May-86,MA,413-187-7945,Silver,13015401,47830476,Natural causes,06/17/2018,Auto,No,Material only,$1680,1.0,No,both
47830476,Female,01-May-86,MA,413-187-7945,Silver,91609100,47830476,Natural causes,04/12/2017,Auto,Unknown,Material only,$1440,1.0,No,both
19269962,Male,13-May-77,NV,956-871-8691,Gold,22890252,19269962,Crime,01/13/2018,Auto,No,Material only,$2680,1.0,No,both
19269962,Male,13-May-77,NV,956-871-8691,Gold,39219616,19269962,Other causes,09/26/2018,Auto,No,Material only,$2240,2.0,No,both
21831191,Male,17-May-77,NH,419-712-8513,Gold,24050443,21831191,Other driver error,10/04/2017,Auto,No,Injury only,$38306.5,3.0,Yes,both
21831191,Male,17-May-77,NH,419-712-8513,Gold,91475471,21831191,Driver error,02/09/2018,Auto,Unknown,Material and injury,$36810,1.0,No,both
18401412,Male,02-Mar-99,AR,752-398-2914,Gold,12878692,18401412,Driver error,01/13/2018,Auto,No,Material only,$1730,4.0,No,both
73486606,Male,25-Oct-99,AK,256-968-9172,Silver,27026412,73486606,Natural causes,04/10/2018,Auto,No,Material only,$1160,3.0,No,both
32813689,Male,12-Oct-93,ID,142-324-7481,Silver,43908336,32813689,Crime,02/15/2018,Auto,Unknown,Material only,$2620,1.0,No,both
33507197,Female,09-Sep-66,RI,165-519-4583,Gold,63246959,33507197,Crime,07/22/2017,Auto,No,Material only,$2748.5,2.0,Yes,both
99103685,Female,30-Dec-85,KY,764-439-9856,Gold,74165873,99103685,Other driver error,01/13/2018,Home,No,Material only,$1495,1.0,Yes,both
51583214,Male,31-Oct-99,NH,743-486-5264,Platinum,28564401,51583214,Other driver error,12/10/2017,Auto,Unknown,Material and injury,$16690,1.0,No,both
35875366,Male,16-Sep-90,MD,954-964-1746,Platinum,72738047,35875366,Other driver error,04/24/2018,Auto,Unknown,Material only,$1870,1.0,No,both
21240703,Male,22-Jul-63,MD,473-561-2675,Silver,53780662,21240703,Other driver error,09/19/2018,Auto,Unknown,Material only,$1050,1.0,No,both
18288638,Female,14-Jan-69,MI,314-135-1359,Platinum,67257404,18288638,Other driver error,04/24/2018,Auto,Yes,Injury only,$32560,1.0,No,both
63240241,Male,26-Jul-77,ME,843-379-4796,Silver,35489765,63240241,Natural causes,10/03/2018,Auto,No,Material only,$2870,1.0,No,both
1407979,Male,15-Mar-87,RI,165-217-1648,Silver,12548447,1407979,Driver error,06/03/2018,Auto,Unknown,Material only,$3208.5,1.0,Yes,both
63916778,Male,07-Sep-66,IL,146-157-4572,Platinum,7809917,63916778,Other causes,07/22/2017,Auto,No,Injury only,$17800,1.0,No,both
17004138,Female,13-Aug-65,WA,436-354-4682,Silver,29205389,17004138,Natural causes,06/25/2017,Auto,No,Injury only,$31380,1.0,No,both
9667764,Female,10-Oct-79,SC,643-978-8251,Platinum,19051665,9667764,Other causes,12/17/2017,Auto,Yes,Injury only,$36190,1.0,No,both
75584003,Female,22-Apr-67,OK,723-418-3248,Silver,32630720,75584003,Crime,02/03/2017,Auto,No,Material only,,1.0,No,both
90012444,Male,08-Aug-74,KS,749-961-7265,Platinum,17910612,90012444,Other driver error,08/24/2017,Auto,No,Material only,$1010,1.0,No,both
10665308,Male,21-Jun-99,CT,324-971-8395,Silver,46956597,10665308,Natural causes,07/20/2018,Auto,No,Material only,,1.0,No,both
35597589,Female,17-Feb-80,IN,826-731-3964,Gold,68848682,35597589,Other driver error,05/29/2017,Auto,Yes,Injury only,$16830,1.0,No,both
1924109,Male,13-Dec-81,UT,431-179-6475,Gold,8782253,1924109,Driver error,09/14/2017,Auto,No,Material only,$1690,1.0,No,both
12871942,Female,01-Apr-95,IN,591-436-5176,Platinum,41262918,12871942,Natural causes,04/25/2017,Auto,No,Material only,$2830,1.0,No,both
32155446,Male,07-May-85,AZ,847-936-7645,Gold,71088680,32155446,Driver error,12/24/2017,Auto,No,Material and injury,$32640,4.0,No,both
